date,season,home_team,away_team,home_pts,away_pts,home_diff,arena,lat,lon,capacity,elev_m,home_elev_m,away_elev_m,delta_elev,home_capacity,away_capacity,home_rest_days,away_rest_days,home_b2b,away_b2b,rest_delta,elo_home_pre,elo_away_pre,elo_delta_pre,elo_exp_home_win,expected_margin_neutral,residual_margin
2021-11-02,2021,Detroit Pistons,Milwaukee Bucks,89,117,-28,Little Caesars Arena,42.3412,-83.0549,20332.0,184.0,184.0,,,20332.0,,2.0,2.0,False,False,0.0,1448.7348623852217,1483.7975838611385,-35.06272147591676,0.44971129475391997,0.09,-28.09
2021-11-02,2021,Utah Jazz,Sacramento Kings,119,113,6,,,,,,,,,,,2.0,2.0,False,False,0.0,1555.50294098015,1489.7752844898293,65.72765649032067,0.5934772057708401,4.23,1.77
2021-11-02,2021,Phoenix Suns,New Orleans Pelicans,112,100,12,,,,,,,,,,,3.0,3.0,False,False,0.0,1483.4515512280102,1458.1891103595867,25.262440868423482,0.5362916404840202,2.57,9.43
2021-11-02,2021,Los Angeles Lakers,Houston Rockets,119,117,2,,,,,,,,,,,2.0,2.0,False,False,0.0,1507.1756936160239,1458.710461677104,48.46523193891994,0.5692981751363704,3.52,-1.52
2021-11-03,2021,Brooklyn Nets,Atlanta Hawks,117,108,9,,,,,,,,,,,3.0,2.0,False,False,1.0,1506.5661672650397,1506.0669078074727,0.49925945756695,0.5007184916207879,1.55,7.45
2021-11-03,2021,Indiana Pacers,New York Knicks,111,98,13,,,,,,,,,,,2.0,2.0,False,False,0.0,1478.3588180916313,1527.3322984770718,-48.97348038544055,0.42998459244996295,-0.48,13.48
2021-11-03,2021,Orlando Magic,Boston Celtics,79,92,-13,,,,,,,,,,,2.0,2.0,False,False,0.0,1457.5293949886704,1469.3813093935285,-11.851914404858007,0.482950336964104,1.04,-14.04
2021-11-03,2021,Washington Wizards,Toronto Raptors,100,109,-9,,,,,,,,,,,2.0,2.0,False,False,0.0,1519.964750342045,1528.4216874549447,-8.456937112899823,0.4878318922165465,1.18,-10.18
2021-11-03,2021,Cleveland Cavaliers,Portland Trail Blazers,107,104,3,,,,,,,,,,,2.0,2.0,False,False,0.0,1567.3001040037743,1486.0147634432758,81.28534056049853,0.614890391046852,4.87,-1.87
2021-11-03,2021,Memphis Grizzlies,Denver Nuggets,108,106,2,,,,,,,,,,,2.0,2.0,False,False,0.0,1525.1468417749895,1514.0820695024725,11.064772272517075,0.5159181061322262,1.98,0.02
2021-11-03,2021,Minnesota Timberwolves,LA Clippers,115,126,-11,,,,,,,88.0,,,19060.0,2.0,2.0,False,False,0.0,1496.2738809457646,1423.116687913665,73.15719303209971,0.6037528171258498,4.53,-15.53
